URL,Size in Bytes,# of outlinks found,Content-Type
https://www.nytimes.com/section/technology,627780 Byte,79,text/html
https://www.nytimes.com/2020/09/22/books/review-book-of-unconformities-hugh-raffles.html,279978 Byte,49,text/html
https://www.nytimes.com/by/blacki-migliozzi,825650 Byte,51,text/html
https://www.nytimes.com/live/2020/09/26/us/trump-vs-biden?name=styln-scotus-nominations&region=TOP_BANNER&block=storyline_menu_recirc&action=click&pgtype=Article&impression_id=97fc4a50-0066-11eb-9ce7-83c50ec8c1cb&variant=undefined,1048576 Byte,106,text/html
https://www.nytimes.com/2020/09/25/arts/television/utopia-review.html,240971 Byte,45,text/html
https://www.nytimes.com/2020/09/25/nyregion/long-island-serial-killer-gilgo-beach.html,422175 Byte,44,text/html
https://www.nytimes.com/section/science,517909 Byte,92,text/html
https://www.nytimes.com/by/parul-sehgal,219973 Byte,50,text/html
https://www.nytimes.com/interactive/2020/04/21/world/coronavirus-missing-deaths.html,766090 Byte,140,text/html
https://www.nytimes.com/2020/09/25/world/europe/Cardinal-Becciu-Fired.html,231763 Byte,39,text/html
https://www.nytimes.com/2020/09/25/arts/design/philip-guston-exhibition-delayed-criticism.html,283452 Byte,45,text/html
https://www.nytimes.com/2020/09/25/realestate/how-to-negotiate-with-your-landlord.html,377090 Byte,54,text/html
https://www.nytimes.com/interactive/2020/science/coronavirus-vaccine-tracker.html,338164 Byte,332,text/html
https://www.nytimes.com/section/realestate,557543 Byte,112,text/html
https://www.nytimes.com/interactive/2020/us/ohio-coronavirus-cases.html,311909 Byte,173,text/html
https://www.nytimes.com/2020/09/09/books/review-rage-donald-trump-bob-woodward.html,395670 Byte,64,text/html
https://www.nytimes.com/2020/09/26/us/william-perry-pendley-blm.html,271704 Byte,51,text/html
https://www.nytimes.com/2020/09/25/nyregion/nyc-outdoor-dining-restaurants.html,307934 Byte,52,text/html
https://www.nytimes.com/by/josh-williams,763090 Byte,52,text/html
https://www.nytimes.com/article/voting-tips.html,564601 Byte,67,text/html
https://www.nytimes.com/column/crime,230760 Byte,53,text/html
https://www.nytimes.com/interactive/2020/us/texas-coronavirus-cases.html,313969 Byte,174,text/html
https://www.nytimes.com/2020/09/26/us/politics/trump-rally-middletown-pa.html,275730 Byte,49,text/html
